date,precip_mm
2016-01-01,76.7
2016-02-01,58.0
2016-03-01,58.3
2016-04-01,227.3
2016-05-01,29.099999999999998
2016-06-01,17.1
2016-07-01,1.7
2016-08-01,1.3
2016-09-01,5.8999999999999995
2016-10-01,6.5
2016-11-01,142.3
2016-12-01,64.6
2017-01-01,6.2
2017-02-01,34.5
2017-03-01,62.3
2017-04-01,121.4
2017-05-01,65.4
2017-06-01,6.6
2017-07-01,7.9
2017-08-01,19.6
2017-09-01,19.3
2017-10-01,50.5
2017-11-01,140.5
2017-12-01,28.599999999999998
2018-01-01,15.1
2018-02-01,15.3
2018-03-01,222.4
2018-04-01,200.9
2018-05-01,62.9
2018-06-01,27.1
2018-07-01,23.8
2018-08-01,19.1
2018-09-01,32.5
2018-10-01,86.5
2018-11-01,145.1
2018-12-01,114.8
2019-01-01,46.8
2019-02-01,50.9
2019-03-01,23.7
2019-04-01,279.3
2019-05-01,125.39999999999999
2019-06-01,55.4
2019-07-01,18.1
2019-08-01,18.8
2019-09-01,37.4
2019-10-01,322.8
2019-11-01,275.5
2019-12-01,197.6
2020-01-01,257.7
2020-02-01,177.5
2020-03-01,272.1
2020-04-01,272.2
2020-05-01,63.1
2020-06-01,20.9
2020-07-01,20.1
2020-08-01,24.0
2020-09-01,24.9
2020-10-01,43.8
2020-11-01,205.1
2020-12-01,44.8
2021-01-01,75.1
2021-02-01,87.3
2021-03-01,39.5
2021-04-01,215.9
2021-05-01,131.6
2021-06-01,12.2
2021-07-01,10.1
2021-08-01,12.0
2021-09-01,13.9
2021-10-01,22.9
2021-11-01,116.5
2021-12-01,127.2
2022-01-01,33.9
2022-02-01,16.1
2022-03-01,14.2
2022-04-01,74.5
2022-05-01,21.1
2022-06-01,13.2
2022-07-01,13.7
2022-08-01,21.1
2022-09-01,21.3
2022-10-01,26.2
2022-11-01,159.0
2022-12-01,48.1
2023-01-01,29.3
2023-02-01,3.8
2023-03-01,72.6
2023-04-01,152.9
2023-05-01,61.2
2023-06-01,26.8
2023-07-01,9.9
2023-08-01,15.6
2023-09-01,37.3
2023-10-01,83.10000000000001
2023-11-01,172.2
2023-12-01,48.6
2024-01-01,72.0
2024-02-01,24.5
2024-03-01,58.400000000000006
2024-04-01,146.20000000000002
2024-05-01,92.3
2024-06-01,10.6
2024-07-01,50.5
2024-08-01,20.3
2024-09-01,25.2
2024-10-01,39.0
2024-11-01,103.0
2024-12-01,56.99999999999999
2025-01-01,46.800000000000004
2025-02-01,14.2
2025-03-01,99.1
2025-04-01,123.0
2025-05-01,55.2
2025-06-01,31.1
2025-07-01,16.4
2025-08-01,33.5
2025-09-01,20.0
2025-10-01,74.9
2025-11-01,87.2
2025-12-01,89.0
