segment,ring,n_pixels,pre_mean,post_mean,delta
upstream,0-50m,820,0.771189024390244,0.5687956533110577,-0.20239337107918623
upstream,50-100m,878,0.690632118451025,0.5173204498015672,-0.17331166864945788
upstream,100-250m,2779,0.6245232097876935,0.4812862237759493,-0.14323698601174406
upstream,250-500m,4550,0.6321699372056515,0.442457070363953,-0.18971286684169855
upstream,500-1000m,1073,0.7395697421559491,0.5114503134761142,-0.2281194286798348
downstream,0-50m,995,0.8936850921273032,0.5445759306801359,-0.3491091614471673
downstream,50-100m,1102,0.7669880520266182,0.5192330924170164,-0.24775495960960187
downstream,100-250m,2611,0.6970860462147326,0.49353569002926984,-0.20355035618546272
downstream,250-500m,4329,0.5859294734294734,0.46412427378798604,-0.12180519964148735
downstream,500-1000m,1063,0.5204268019531426,0.3840230256492573,-0.13640377630388523
