aoi,date,doy,month,year,period,is_drought,valid_fraction,vegetation_fraction,vegetation_ha,water_fraction,water_ha,mean_ndvi
treatment_dam,2016-01-25 07:42:12.029,25,1,2016,pre,False,1.0,0.9661386138613861,97.58,0.0,0.0,0.6316323
treatment_dam,2016-03-15 07:52:12.030,75,3,2016,pre,False,0.970990099009901,0.9127154073620883,89.51,0.0,0.0,0.4801487
treatment_dam,2016-04-14 07:52:12.030,105,4,2016,pre,False,0.963069306930693,0.8886604297316747,86.44,0.00020561324149275214,0.02,0.4827355
treatment_dam,2016-07-23 07:36:22.026,205,7,2016,pre,False,1.0,0.7993069306930694,80.73,0.0,0.0,0.3789988
treatment_dam,2016-08-02 07:52:22.026,215,8,2016,pre,False,1.0,0.6575247524752476,66.41,0.0,0.0,0.34487614
treatment_dam,2016-08-22 07:52:12.026,235,8,2016,pre,False,1.0,0.4181188118811881,42.230000000000004,0.0,0.0,0.30163157
treatment_dam,2016-10-21 07:52:12.026,295,10,2016,pre,False,0.983960396039604,0.08945461863554036,8.89,0.0,0.0,0.20534995
treatment_dam,2016-10-31 07:40:42.026,305,10,2016,pre,False,0.8794059405940594,0.2792163927043459,24.8,0.00011258725512272011,0.01,0.24936232
treatment_dam,2016-12-20 07:52:12.026,355,12,2016,pre,False,1.0,0.9821782178217822,99.2,9.900990099009902e-05,0.01,0.59443516
treatment_dam,2017-01-29 07:52:11.026,29,1,2017,pre,False,1.0,0.921980198019802,93.12,0.0,0.0,0.4436737
treatment_dam,2017-03-10 07:37:21.026,69,3,2017,pre,False,1.0,0.44475247524752476,44.92,0.0,0.0,0.30998316
treatment_dam,2017-04-09 07:52:11.026,99,4,2017,pre,False,0.8891089108910891,0.6916481069042316,62.11,0.00044543429844097997,0.04,0.3979213
treatment_dam,2017-08-17 07:36:11.026,229,8,2017,pre,False,1.0,0.5326732673267327,53.800000000000004,0.0,0.0,0.33582887
treatment_dam,2017-08-27 07:52:11.026,239,8,2017,pre,False,1.0,0.33881188118811884,34.22,0.0,0.0,0.28759232
treatment_dam,2017-09-06 07:36:11.026,249,9,2017,pre,False,1.0,0.15594059405940594,15.75,0.0,0.0,0.22947362
treatment_dam,2017-09-26 07:36:41.026,269,9,2017,pre,False,1.0,0.2084158415841584,21.05,0.0,0.0,0.2512176
