date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_p10,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_p90,BSI_mean,BSI_std,BSI_min,BSI_max,BSI_p10,BSI_p25,BSI_p50,BSI_p75,BSI_p90,NDMI_mean,NDMI_std,NDMI_min,NDMI_max,NDMI_p10,NDMI_p25,NDMI_p50,NDMI_p75,NDMI_p90,NDWI_mean,NDWI_std,NDWI_min,NDWI_max,NDWI_p10,NDWI_p25,NDWI_p50,NDWI_p75,NDWI_p90,chirps_30d_mm,flags,mgrs_tile,orbit_number,processing_baseline
2019-01-02,sentinel2,20190102T075321_20190102T075634_T36NXF,PRE,0.0,1.208526,0.611673,0.10954,0.107305,0.853455,0.466722,0.552757,0.626958,0.689416,0.740084,-0.037528,0.086776,-0.349664,0.308144,-0.14616,-0.095605,-0.040911,0.0175,0.072328,0.123767,0.081985,-0.254104,0.41585,0.0212,0.072365,0.126891,0.177597,0.224635,-0.591249,0.067226,-0.776824,-0.132343,-0.669755,-0.63482,-0.595749,-0.556649,-0.509645,168.797,PRE_INTERVENTION,36NXF,135,02.11
2019-01-07,sentinel2,20190107T075319_20190107T080915_T36NXF,PRE,0.0,1.535161,0.575316,0.113913,0.088149,0.86739,0.427752,0.50593,0.58403,0.654123,0.713033,-0.001072,0.091764,-0.368154,0.3223,-0.11508,-0.060517,-0.002071,0.060693,0.115147,0.076674,0.088486,-0.283341,0.426215,-0.037035,0.021541,0.07617,0.130835,0.189485,-0.586104,0.068634,-0.785529,-0.123013,-0.669909,-0.627011,-0.587954,-0.548821,-0.505856,140.195,PRE_INTERVENTION,36NXF,135,02.11
2019-01-12,sentinel2,20190112T075301_20190112T075614_T36NXF,PRE,0.0,10.332992,0.52399,0.113228,0.092343,0.830355,0.377021,0.451074,0.529152,0.603535,0.666029,0.03507,0.084271,-0.309548,0.296716,-0.076113,-0.017619,0.040891,0.091792,0.138772,0.048313,0.081808,-0.270063,0.373101,-0.052824,-0.005871,0.045044,0.099638,0.154582,-0.563096,0.068179,-0.762182,-0.135646,-0.646565,-0.607397,-0.564388,-0.525477,-0.482481,75.818,PRE_INTERVENTION,36NXF,135,02.11
2019-01-17,sentinel2,20190117T075249_20190117T080836_T36NXF,PRE,0.0,4.038922,0.540046,0.12349,0.082073,0.869292,0.376598,0.459031,0.548943,0.6269,0.693235,0.042431,0.09591,-0.351233,0.33757,-0.083834,-0.013493,0.04491,0.1074,0.162094,0.04382,0.094631,-0.296888,0.422269,-0.07238,-0.01757,0.041048,0.099649,0.166002,-0.563873,0.074861,-0.779677,-0.074477,-0.658266,-0.611321,-0.564431,-0.521565,-0.474541,35.769,PRE_INTERVENTION,36NXF,135,02.11
2019-01-22,sentinel2,20190122T075221_20190122T075539_T36NXF,PRE,0.0,0.175152,0.568942,0.114279,0.101471,0.839004,0.416226,0.501931,0.57999,0.646471,0.705071,0.000756,0.091287,-0.326746,0.32114,-0.111476,-0.05672,-0.001996,0.056623,0.119104,0.08849,0.088894,-0.271892,0.410203,-0.025388,0.03327,0.091872,0.146486,0.197291,-0.561828,0.069986,-0.759977,-0.111837,-0.646618,-0.607409,-0.564501,-0.525487,-0.478529,41.166,PRE_INTERVENTION,36NXF,135,02.11
2019-02-01,sentinel2,20190201T075141_20190201T080139_T36NXF,PRE,0.0,0.033922,0.460123,0.113596,0.106928,0.810099,0.318243,0.384799,0.459119,0.537112,0.607566,0.087626,0.082126,-0.279826,0.31968,-0.021321,0.037173,0.095645,0.142671,0.185451,-0.008313,0.082754,-0.259994,0.352075,-0.111239,-0.064421,-0.013806,0.040989,0.099731,-0.527698,0.068599,-0.742208,-0.161137,-0.615258,-0.572092,-0.525358,-0.486297,-0.447361,19.617,PRE_INTERVENTION,36NXF,135,05.00
2019-02-06,sentinel2,20190206T075109_20190206T080454_T36NXF,PRE,0.0,39.857907,0.419607,0.114523,0.079088,0.792852,0.279349,0.337817,0.412078,0.49413,0.572268,0.110535,0.083525,-0.260622,0.307375,-0.001561,0.064576,0.119137,0.169921,0.209032,-0.033659,0.086271,-0.275744,0.335532,-0.134659,-0.0957,-0.044744,0.017293,0.083881,-0.501172,0.070112,-0.72924,-0.13606,-0.591821,-0.544782,-0.497977,-0.455081,-0.419944,17.783,PRE_INTERVENTION,36NXF,135,02.11
2019-02-26,sentinel2,20190226T074859_20190226T080814_T36NXF,PRE,0.0,1.42259,0.42079,0.127556,0.084729,0.827771,0.263571,0.326125,0.412075,0.505897,0.595739,0.128116,0.094296,-0.302113,0.332987,0.002025,0.076198,0.142503,0.19739,0.236345,-0.063016,0.09848,-0.321555,0.350135,-0.177761,-0.134848,-0.076397,-0.005928,0.07236,-0.49714,0.077412,-0.747093,-0.124975,-0.599786,-0.544932,-0.490145,-0.447272,-0.408254,100.005,PRE_INTERVENTION,36NXF,135,02.11
2019-05-07,sentinel2,20190507T074619_20190507T080526_T36NXF,PRE,0.0,10.937658,0.561301,0.134697,0.056516,0.888476,0.384527,0.478477,0.57205,0.654223,0.728568,0.01357,0.10394,-0.360553,0.344513,-0.119219,-0.052717,0.017695,0.083932,0.142334,0.074307,0.099236,-0.278815,0.413023,-0.048788,0.009718,0.072299,0.138538,0.201234,-0.58135,0.083151,-0.800962,-0.077288,-0.681624,-0.634767,-0.584001,-0.533278,-0.478379,278.58,PRE_INTERVENTION,36NXF,135,02.12
2019-05-17,sentinel2,20190517T074619_20190517T075858_T36NXF,PRE,0.01,14.739789,0.598717,0.115214,0.062857,0.847529,0.443465,0.533333,0.615246,0.681737,0.728539,-0.050434,0.093282,-0.338002,0.294165,-0.162102,-0.115149,-0.052766,0.009648,0.068287,0.133602,0.08898,-0.235305,0.418704,0.017621,0.076002,0.138772,0.193299,0.240073,-0.582716,0.069161,-0.766801,-0.075145,-0.662213,-0.630833,-0.587871,-0.545001,-0.494084,314.269,PRE_INTERVENTION,36NXF,135,02.12
