date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,avg_rad_mean,avg_rad_std,avg_rad_min,avg_rad_max,avg_rad_p25,avg_rad_p50,avg_rad_p75,chirps_30d_mm,flags,mgrs_tile,orbit_number,processing_baseline
2019-01-01,viirs,20190101,PRE,0.0,,0.885065,0.558858,0.29,2.3,0.5,0.69,1.0,,PRE_INTERVENTION,,,
2019-02-01,viirs,20190201,PRE,0.0,,0.862589,0.418559,0.42,2.16,0.58,0.78,0.97,,PRE_INTERVENTION,,,
2019-03-01,viirs,20190301,PRE,0.0,,0.962675,0.565081,0.4,3.06,0.64,0.79,1.08,,PRE_INTERVENTION,,,
2019-04-01,viirs,20190401,PRE,0.0,,1.346939,0.833544,0.43,3.12,0.8,0.93,1.89,,PRE_INTERVENTION,,,
2019-05-01,viirs,20190501,PRE,17.12,,0.803937,0.373507,0.45,1.74,0.55,0.64,1.07,,PRE_INTERVENTION,,,
2019-06-01,viirs,20190601,PRE,0.0,,0.736953,0.355877,0.37,1.7,0.55,0.67,0.86,,PRE_INTERVENTION,,,
2019-07-01,viirs,20190701,PRE,0.0,,1.26397,1.2372,0.4,6.36,0.61,0.83,1.31,,PRE_INTERVENTION,,,
2019-08-01,viirs,20190801,PRE,0.0,,1.252752,0.827363,0.54,3.35,0.64,0.88,1.26,,PRE_INTERVENTION,,,
2019-09-01,viirs,20190901,PRE,0.0,,2.057119,1.842378,0.33,6.74,0.66,1.15,2.95,,PRE_INTERVENTION,,,
2019-10-01,viirs,20191001,PRE,0.0,,0.969371,0.676218,0.33,3.25,0.51,0.81,1.05,,PRE_INTERVENTION,,,
2019-11-01,viirs,20191101,PRE,8.81,,0.753595,0.34241,0.41,1.37,0.43,0.62,1.0,,PRE_INTERVENTION,,,
2019-12-01,viirs,20191201,PRE,0.0,,1.270071,0.691277,0.5,3.16,0.67,0.95,1.71,,PRE_INTERVENTION,,,
2020-01-01,viirs,20200101,PRE,0.0,,1.309042,0.759953,0.42,2.97,0.63,0.92,1.9,,PRE_INTERVENTION,,,
2020-02-01,viirs,20200201,PRE,0.0,,1.495472,1.019605,0.54,4.22,0.79,0.99,2.05,,PRE_INTERVENTION,,,
2020-03-01,viirs,20200301,PRE,0.0,,1.156371,0.582896,0.49,2.75,0.8,0.9,1.43,,PRE_INTERVENTION,,,
2020-04-01,viirs,20200401,PRE,0.0,,1.148045,0.833352,0.57,3.77,0.68,0.73,1.14,,PRE_INTERVENTION,,,
2020-05-01,viirs,20200501,PRE,0.0,,1.265074,0.675209,0.44,2.72,0.92,1.02,1.77,,PRE_INTERVENTION,,,
2020-06-01,viirs,20200601,PRE,0.0,,0.991336,0.478463,0.45,2.04,0.6,0.97,1.14,,PRE_INTERVENTION,,,
2020-07-01,viirs,20200701,PRE,0.0,,1.241128,0.578195,0.55,2.97,0.79,1.08,1.61,,PRE_INTERVENTION,,,
2020-08-01,viirs,20200801,PRE,0.0,,1.28521,0.667834,0.51,2.82,0.65,1.15,1.82,,PRE_INTERVENTION,,,
2020-09-01,viirs,20200901,PRE,0.0,,1.536915,0.823882,0.66,3.23,0.81,1.17,2.45,,PRE_INTERVENTION,,,
2020-10-01,viirs,20201001,PRE,0.0,,1.156645,0.529694,0.56,2.04,0.66,1.11,1.37,,PRE_INTERVENTION,,,
2020-11-01,viirs,20201101,PRE,0.0,,1.722644,0.984825,0.68,4.4,0.92,1.47,1.94,,PRE_INTERVENTION,,,
2020-12-01,viirs,20201201,PRE,0.0,,1.598427,0.663295,0.68,3.06,0.99,1.37,2.23,,PRE_INTERVENTION,,,
2021-01-01,viirs,20210101,PRE,0.0,,0.987859,0.433091,0.43,1.96,0.66,0.78,1.35,,PRE_INTERVENTION,,,
2021-02-01,viirs,20210201,PRE,0.0,,1.433288,0.798883,0.62,3.74,0.88,1.14,1.45,,PRE_INTERVENTION,,,
2021-03-01,viirs,20210301,PRE,0.0,,1.881831,0.913735,0.85,4.23,1.27,1.63,2.1,,PRE_INTERVENTION,,,
2021-04-01,viirs,20210401,PRE,88.11,,0.549522,0.094281,0.48,0.68,0.48,0.48,0.68,,PRE_INTERVENTION,,,
2021-05-01,viirs,20210501,PRE,0.0,,1.430778,0.697607,0.58,3.51,0.88,1.17,1.83,,PRE_INTERVENTION,,,
2021-06-01,viirs,20210601,PRE,0.0,,1.581046,0.796623,0.65,4.06,1.03,1.28,2.12,,PRE_INTERVENTION,,,
2021-07-01,viirs,20210701,PRE,0.0,,1.129299,0.515095,0.56,2.43,0.72,1.14,1.24,,PRE_INTERVENTION,,,
2021-08-01,viirs,20210801,PRE,0.0,,1.985875,0.71384,1.07,3.65,1.3,1.99,2.34,,PRE_INTERVENTION,,,
2021-09-01,viirs,20210901,PRE,0.0,,1.786107,0.92267,0.68,3.42,0.86,1.73,2.39,,PRE_INTERVENTION,,,
2021-10-01,viirs,20211001,PRE,0.0,,1.516608,0.724729,0.72,3.59,1.0,1.39,1.85,,PRE_INTERVENTION,,,
2021-11-01,viirs,20211101,PRE,0.0,,1.513353,0.775078,0.48,3.52,0.84,1.36,2.12,,PRE_INTERVENTION,,,
2021-12-01,viirs,20211201,PRE,0.0,,1.926365,1.030984,0.72,4.16,0.96,1.68,2.5,,PRE_INTERVENTION|NEAR_INTERVENTION,,,
2022-01-01,viirs,20220101,POST,0.0,,1.561923,0.702906,0.67,3.19,1.0,1.38,2.13,,POST_INTERVENTION|NEAR_INTERVENTION,,,
2022-02-01,viirs,20220201,POST,0.0,,1.230288,0.432008,0.57,2.45,0.95,1.26,1.41,,POST_INTERVENTION|NEAR_INTERVENTION,,,
2022-03-01,viirs,20220301,POST,0.0,,1.643241,0.903986,0.75,3.85,1.14,1.29,1.78,,POST_INTERVENTION|NEAR_INTERVENTION,,,
2022-04-01,viirs,20220401,POST,0.0,,1.398449,0.594661,0.71,2.96,0.95,1.14,1.97,,POST_INTERVENTION,,,
2022-05-01,viirs,20220501,POST,0.0,,1.45198,0.646079,0.72,3.24,0.99,1.24,1.63,,POST_INTERVENTION,,,
2022-06-01,viirs,20220601,POST,0.0,,1.575333,0.645085,0.81,3.32,1.1,1.61,1.92,,POST_INTERVENTION,,,
2022-07-01,viirs,20220701,POST,78.55,,0.567461,0.063119,0.5,0.64,0.5,0.55,0.64,,POST_INTERVENTION,,,
2022-08-01,viirs,20220801,POST,0.0,,1.309691,0.581027,0.61,3.04,0.78,1.25,1.57,,POST_INTERVENTION,,,
2022-09-01,viirs,20220901,POST,0.0,,1.410885,0.552844,0.76,2.92,0.98,1.39,1.71,,POST_INTERVENTION,,,
2022-10-01,viirs,20221001,POST,0.0,,2.124644,1.018994,1.03,4.58,1.41,1.78,2.14,,POST_INTERVENTION,,,
2022-11-01,viirs,20221101,POST,0.0,,1.150572,0.474156,0.57,2.11,0.81,1.07,1.5,,POST_INTERVENTION,,,
2022-12-01,viirs,20221201,POST,0.0,,1.482595,0.82173,0.67,3.29,0.96,1.17,1.59,,POST_INTERVENTION,,,
2023-01-01,viirs,20230101,POST,0.0,,1.669673,0.745025,0.76,3.81,1.16,1.58,2.01,,POST_INTERVENTION,,,
2023-02-01,viirs,20230201,POST,0.0,,1.473278,0.469896,0.88,2.47,1.12,1.24,1.86,,POST_INTERVENTION,,,
2023-03-01,viirs,20230301,POST,10.83,,1.327889,0.546671,0.78,2.67,1.07,1.24,1.51,,POST_INTERVENTION,,,
2023-04-01,viirs,20230401,POST,0.0,,1.429792,0.776623,0.66,3.55,0.83,1.25,1.83,,POST_INTERVENTION,,,
2023-05-01,viirs,20230501,POST,0.0,,1.586238,0.685571,0.85,3.16,1.09,1.22,1.99,,POST_INTERVENTION,,,
2023-06-01,viirs,20230601,POST,0.0,,1.708357,0.689802,0.66,3.22,1.08,1.59,2.22,,POST_INTERVENTION,,,
2023-07-01,viirs,20230701,POST,0.0,,1.658347,0.56953,0.86,2.92,1.15,1.67,2.11,,POST_INTERVENTION,,,
2023-08-01,viirs,20230801,POST,0.0,,1.906183,0.709585,0.96,3.11,1.26,1.71,2.68,,POST_INTERVENTION,,,
2023-09-01,viirs,20230901,POST,0.0,,1.636449,0.643993,0.77,2.96,1.15,1.48,2.01,,POST_INTERVENTION,,,
2023-10-01,viirs,20231001,POST,0.0,,1.582023,0.680066,0.72,3.74,1.11,1.52,1.87,,POST_INTERVENTION,,,
2023-11-01,viirs,20231101,POST,0.0,,1.094224,0.382908,0.52,2.04,0.83,1.05,1.22,,POST_INTERVENTION,,,
2023-12-01,viirs,20231201,POST,0.0,,1.688823,0.503884,0.89,2.43,1.29,1.82,2.13,,POST_INTERVENTION,,,
2024-01-01,viirs,20240101,POST,0.0,,1.097241,0.409828,0.63,1.89,0.75,1.15,1.36,,POST_INTERVENTION,,,
2024-02-01,viirs,20240201,POST,0.0,,1.802771,0.694804,0.86,3.13,1.25,1.46,2.32,,POST_INTERVENTION,,,
2024-03-01,viirs,20240301,POST,0.0,,1.352382,0.633649,0.64,2.52,0.81,1.1,1.74,,POST_INTERVENTION,,,
2024-04-01,viirs,20240401,POST,0.0,,1.504111,0.575677,0.7,3.0,0.97,1.58,1.88,,POST_INTERVENTION,,,
2024-05-01,viirs,20240501,POST,0.0,,1.436279,0.554188,0.69,2.64,1.02,1.3,1.85,,POST_INTERVENTION,,,
2024-06-04,viirs,20240604,POST,0.0,,1.592922,0.690896,0.76,3.76,1.21,1.54,1.9,,POST_INTERVENTION,,,
2024-07-01,viirs,20240701,POST,0.0,,1.762932,0.655264,1.0,3.64,1.5,1.7,1.83,,POST_INTERVENTION,,,
2024-08-01,viirs,20240801,POST,0.0,,1.843374,0.635989,1.08,3.47,1.38,1.63,2.21,,POST_INTERVENTION,,,
2024-09-01,viirs,20240901,POST,0.0,,1.632017,0.624016,0.84,3.4,1.2,1.74,1.89,,POST_INTERVENTION,,,
2024-10-01,viirs,20241001,POST,0.0,,2.309706,0.813295,1.08,4.44,1.87,2.31,2.52,,POST_INTERVENTION,,,
2024-11-01,viirs,20241101,POST,0.0,,2.210294,1.058835,0.65,3.7,1.03,2.29,3.11,,POST_INTERVENTION,,,
2024-12-01,viirs,20241201,POST,0.0,,1.940823,0.757216,0.97,3.82,1.35,1.67,2.34,,POST_INTERVENTION,,,
