date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_p10,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_p90,BSI_mean,BSI_std,BSI_min,BSI_max,BSI_p10,BSI_p25,BSI_p50,BSI_p75,BSI_p90,NDMI_mean,NDMI_std,NDMI_min,NDMI_max,NDMI_p10,NDMI_p25,NDMI_p50,NDMI_p75,NDMI_p90,chirps_30d_mm,flags,mgrs_tile,orbit_number,processing_baseline
2019-01-02,sentinel2,20190102T075321_20190102T075634_T36NXF,PRE,0.1,1.208526,0.558762,0.206482,-0.313983,0.903054,0.246161,0.425803,0.597694,0.722697,0.801008,-0.04352,0.132252,-0.427736,0.479902,-0.220617,-0.138784,-0.041099,0.052799,0.134767,0.134955,0.130195,-0.390281,0.490043,-0.044906,0.044951,0.142581,0.228705,0.298966,139.144,PRE_INTERVENTION,36NXF,135,02.11
2019-01-07,sentinel2,20190107T075319_20190107T080915_T36NXF,PRE,0.04,1.535161,0.51593,0.178817,-0.027828,0.925451,0.271434,0.396468,0.533248,0.654326,0.736289,-0.038915,0.110679,-0.462816,0.430529,-0.181668,-0.111451,-0.037068,0.033151,0.107361,0.1172,0.11074,-0.368083,0.502512,-0.025387,0.052712,0.115273,0.189305,0.255568,118.493,PRE_INTERVENTION,36NXF,135,02.11
2019-01-12,sentinel2,20190112T075301_20190112T075614_T36NXF,PRE,0.0,10.332992,0.516943,0.192406,-0.028077,0.884682,0.228472,0.388598,0.548797,0.669795,0.748117,-0.015584,0.119791,-0.404983,0.415435,-0.173847,-0.095707,-0.009867,0.072204,0.13864,0.107621,0.119826,-0.444551,0.464847,-0.052625,0.025391,0.107366,0.189586,0.259815,61.862,PRE_INTERVENTION,36NXF,135,02.11
2019-01-17,sentinel2,20190117T075249_20190117T080836_T36NXF,PRE,0.01,4.038922,0.520945,0.206062,-0.045153,0.90678,0.213067,0.384818,0.552557,0.677755,0.771477,-0.006707,0.129891,-0.429136,0.471163,-0.181674,-0.087818,0.002,0.087971,0.158129,0.098928,0.13027,-0.475523,0.490045,-0.072125,0.009736,0.099567,0.185548,0.267555,62.694,PRE_INTERVENTION,36NXF,135,02.11
2019-01-22,sentinel2,20190122T075221_20190122T075539_T36NXF,PRE,0.01,0.175152,0.521291,0.204748,-0.043895,0.890347,0.213013,0.384758,0.548723,0.68156,0.771523,8.6e-05,0.127211,-0.404318,0.435299,-0.173726,-0.08401,0.0098,0.091682,0.162151,0.093726,0.126749,-0.435884,0.481714,-0.072305,0.005912,0.091757,0.181653,0.259821,57.433,PRE_INTERVENTION,36NXF,135,02.11
2019-01-27,sentinel2,20190127T075209_20190127T080616_T36NXF,PRE,0.07,25.275155,0.489479,0.178154,0.005828,0.850812,0.228708,0.369071,0.50962,0.626928,0.712965,-0.009634,0.110637,-0.374554,0.374184,-0.158242,-0.080178,-0.002079,0.072155,0.127014,0.084342,0.11208,-0.385616,0.439842,-0.056596,0.005854,0.080129,0.158269,0.232368,51.046,PRE_INTERVENTION,36NXF,135,02.11
2019-02-01,sentinel2,20190201T075141_20190201T080139_T36NXF,PRE,0.0,0.033922,0.456404,0.179895,-0.021831,0.86245,0.201198,0.333963,0.46672,0.587937,0.685489,0.03845,0.106337,-0.374231,0.368269,-0.1034,-0.021513,0.052729,0.115335,0.162103,0.051197,0.108203,-0.382891,0.443667,-0.080136,-0.025431,0.040989,0.115223,0.193182,40.811,PRE_INTERVENTION,36NXF,135,05.00
2019-02-06,sentinel2,20190206T075109_20190206T080454_T36NXF,PRE,1.62,39.857907,0.401272,0.14727,0.010753,0.775213,0.197226,0.298806,0.408213,0.502051,0.59177,0.043182,0.086912,-0.296037,0.307948,-0.076184,-0.001969,0.056637,0.103573,0.138711,0.043297,0.091719,-0.321414,0.38895,-0.06445,-0.021461,0.033215,0.09569,0.16614,40.811,PRE_INTERVENTION,36NXF,135,02.11
2019-02-21,sentinel2,20190221T074931_20190221T075527_T36NXF,PRE,0.1,39.913136,0.436432,0.185377,-0.130548,0.878936,0.183756,0.308574,0.441312,0.566511,0.683614,0.054604,0.114085,-0.402708,0.419805,-0.09972,-0.005856,0.072288,0.134738,0.18173,0.041725,0.116912,-0.426907,0.474909,-0.095615,-0.040996,0.029236,0.107432,0.197478,30.922,PRE_INTERVENTION,36NXF,135,02.11
2019-02-26,sentinel2,20190226T074859_20190226T080814_T36NXF,PRE,0.04,1.42259,0.467191,0.184233,-0.031794,0.877614,0.208987,0.341888,0.478456,0.599502,0.70512,0.031593,0.11537,-0.410503,0.391009,-0.122967,-0.033233,0.044899,0.111333,0.162028,0.040767,0.116934,-0.426309,0.46747,-0.099631,-0.040954,0.029259,0.111339,0.193376,102.632,PRE_INTERVENTION,36NXF,135,02.11
2019-05-02,sentinel2,20190502T074621_20190502T080204_T36NXF,PRE,0.01,34.585644,0.517685,0.197958,-0.045317,0.893041,0.220673,0.384678,0.540994,0.673865,0.7637,-0.018659,0.127534,-0.420567,0.407954,-0.193528,-0.103501,-0.013615,0.076173,0.142421,0.109058,0.125504,-0.39958,0.471374,-0.05657,0.02149,0.107467,0.197324,0.275371,231.103,PRE_INTERVENTION,36NXF,135,02.11
2019-05-07,sentinel2,20190507T074619_20190507T080526_T36NXF,PRE,1.7,10.937658,0.531087,0.17929,0.003387,0.850648,0.259672,0.419889,0.564385,0.67004,0.744097,-0.076426,0.118467,-0.383064,0.317485,-0.232368,-0.162052,-0.076142,0.009723,0.0879,0.156661,0.118788,-0.328456,0.457442,-0.009749,0.076173,0.162151,0.244118,0.306567,254.198,PRE_INTERVENTION,36NXF,135,02.12
2019-05-12,sentinel2,20190512T074621_20190512T080030_T36NXF,PRE,0.19,37.874351,0.565312,0.22625,-0.086227,0.939506,0.214961,0.425905,0.605455,0.746196,0.832009,-0.052742,0.146773,-0.468475,0.442259,-0.247952,-0.158233,-0.052694,0.052845,0.142634,0.142369,0.141362,-0.454626,0.529437,-0.052772,0.044953,0.150463,0.244256,0.322158,290.166,PRE_INTERVENTION,36NXF,135,02.12
2019-05-17,sentinel2,20190517T074619_20190517T075858_T36NXF,PRE,0.09,14.739789,0.571217,0.219991,-0.040173,0.936333,0.236051,0.423977,0.611326,0.747943,0.830075,-0.058469,0.148734,-0.463326,0.421324,-0.259975,-0.166135,-0.056646,0.052747,0.138633,0.13423,0.144205,-0.475367,0.512183,-0.064409,0.03316,0.138596,0.240325,0.318331,300.224,PRE_INTERVENTION,36NXF,135,02.12
2019-05-22,sentinel2,20190522T074621_20190522T080757_T36NXF,PRE,13.47,13.800843,0.56517,0.220481,-0.046202,0.920744,0.236381,0.408213,0.607355,0.748106,0.822215,-0.073349,0.141368,-0.454029,0.437875,-0.259862,-0.177737,-0.076089,0.025413,0.123194,0.165788,0.135325,-0.436755,0.516418,-0.021487,0.07619,0.173886,0.263642,0.334089,352.985,PRE_INTERVENTION,36NXF,135,02.12
2019-05-27,sentinel2,20190527T074619_20190527T080335_T36NXF,PRE,13.18,20.755252,0.55596,0.219129,-0.046047,0.91954,0.236235,0.396321,0.58799,0.740129,0.822257,-0.093411,0.141094,-0.486239,0.412749,-0.279311,-0.193235,-0.09168,0.001895,0.099547,0.173376,0.138289,-0.449049,0.536187,-0.013745,0.087897,0.177811,0.271449,0.349796,310.571,PRE_INTERVENTION,36NXF,135,02.12
2019-06-16,sentinel2,20190616T074619_20190616T080736_T36NXF,PRE,0.51,21.816762,0.57094,0.19822,-0.03903,0.882594,0.267606,0.447177,0.615319,0.736263,0.794961,-0.121053,0.137478,-0.455933,0.381246,-0.298754,-0.228488,-0.126918,-0.021508,0.07225,0.203997,0.136865,-0.432758,0.525015,0.009804,0.111379,0.216782,0.306609,0.373169,280.975,PRE_INTERVENTION,36NXF,135,02.12
2019-06-21,sentinel2,20190621T074621_20190621T080443_T36NXF,PRE,0.26,15.989794,0.584606,0.212371,-0.043174,0.89726,0.248081,0.447074,0.634876,0.763747,0.818209,-0.094047,0.145716,-0.443484,0.414758,-0.287045,-0.209105,-0.095729,0.017581,0.107411,0.187502,0.140832,-0.400925,0.521121,-0.009697,0.087955,0.197274,0.29482,0.365351,246.688,PRE_INTERVENTION,36NXF,135,02.12
2020-01-02,sentinel2,20200102T075229_20200102T080825_T36NXF,PRE,33.05,28.529342,0.429046,0.180519,-0.049534,0.845528,0.193455,0.299074,0.41974,0.564521,0.677627,-0.118408,0.120938,-0.571037,0.329197,-0.283184,-0.1973,-0.111296,-0.040991,0.041223,0.20185,0.119404,-0.335129,0.577093,0.056444,0.12698,0.197321,0.283169,0.361215,245.601,PRE_INTERVENTION,36NXF,135,02.13
2020-01-07,sentinel2,20200107T075311_20200107T075626_T36NXF,PRE,0.74,16.996488,0.558677,0.216437,-0.07672,0.910387,0.232485,0.412129,0.59961,0.736228,0.814477,-0.052253,0.138267,-0.472849,0.450458,-0.240186,-0.154342,-0.048847,0.048811,0.134952,0.145046,0.136455,-0.46522,0.536327,-0.043054,0.050798,0.152334,0.246074,0.316333,203.851,PRE_INTERVENTION,36NXF,135,02.13
2020-01-22,sentinel2,20200122T075129_20200122T080758_T36NXF,PRE,0.27,4.068732,0.528763,0.189852,-0.003088,0.856331,0.236203,0.404095,0.564572,0.68152,0.751925,-0.040926,0.131514,-0.411741,0.394971,-0.21295,-0.138598,-0.041086,0.056668,0.138613,0.126653,0.133924,-0.430029,0.501646,-0.056646,0.033021,0.134757,0.224603,0.298824,154.81,PRE_INTERVENTION,36NXF,135,02.13
2020-02-11,sentinel2,20200211T074959_20200211T080355_T36NXF,PRE,0.0,0.125338,0.55741,0.206085,-0.017716,0.89866,0.244164,0.419829,0.591691,0.724708,0.802727,-0.048509,0.139922,-0.449896,0.414366,-0.240072,-0.150413,-0.044935,0.056525,0.134755,0.124983,0.138819,-0.457091,0.5158,-0.064516,0.025469,0.126996,0.224702,0.306714,175.679,PRE_INTERVENTION,36NXF,135,05.00
2020-02-16,sentinel2,20200216T075011_20200216T080428_T36NXF,PRE,0.1,1.255338,0.538672,0.21925,-0.051706,0.919592,0.209165,0.388475,0.572222,0.716845,0.806596,-0.017695,0.136289,-0.442408,0.439537,-0.20512,-0.111171,-0.009747,0.083985,0.15817,0.112947,0.1346,-0.460256,0.499781,-0.068406,0.017442,0.115236,0.2089,0.291149,184.475,PRE_INTERVENTION,36NXF,135,02.14
2020-02-21,sentinel2,20200221T074939_20200221T080715_T36NXF,PRE,0.01,13.226041,0.521617,0.206209,-0.033039,0.895589,0.216771,0.380957,0.548793,0.685543,0.779216,-0.012134,0.131796,-0.434177,0.418696,-0.193462,-0.099656,-0.001948,0.087863,0.154216,0.095467,0.132431,-0.430063,0.491578,-0.080056,0.002051,0.091804,0.185655,0.271492,176.938,PRE_INTERVENTION,36NXF,135,02.14
2020-05-01,sentinel2,20200501T074609_20200501T080518_T36NXF,PRE,0.12,9.74159,0.584721,0.226263,-0.055826,0.958686,0.238438,0.441176,0.629041,0.761749,0.847712,-0.065039,0.148348,-0.484245,0.475817,-0.267505,-0.169911,-0.060458,0.040984,0.134692,0.150915,0.143474,-0.505353,0.526342,-0.050734,0.058698,0.16025,0.254045,0.339723,386.768,PRE_INTERVENTION,36NXF,135,02.14
2020-05-06,sentinel2,20200506T074621_20200506T080222_T36NXF,PRE,11.87,7.627832,0.551263,0.227242,-0.060897,0.952912,0.206931,0.394583,0.589706,0.738197,0.824431,-0.061985,0.144407,-0.48072,0.45376,-0.259902,-0.162213,-0.056574,0.040946,0.130744,0.156597,0.140002,-0.429575,0.546121,-0.033368,0.064342,0.162223,0.255923,0.337968,448.831,PRE_INTERVENTION,36NXF,135,02.14
2020-05-11,sentinel2,20200511T074609_20200511T080553_T36NXF,PRE,13.24,48.092852,0.581374,0.239981,-0.076923,0.997455,0.222798,0.402119,0.628964,0.777311,0.86333,-0.084671,0.149692,-0.479161,0.42829,-0.283236,-0.193455,-0.083932,0.017638,0.119092,0.171814,0.142477,-0.483095,0.527021,-0.027013,0.082112,0.175827,0.277302,0.355377,463.822,PRE_INTERVENTION,36NXF,135,02.14
2020-05-16,sentinel2,20200516T074621_20200516T080324_T36NXF,PRE,2.64,17.783136,0.566134,0.234277,-0.067141,0.936196,0.207072,0.394331,0.613302,0.761693,0.839772,-0.07606,0.145009,-0.463846,0.438273,-0.267533,-0.181682,-0.07608,0.025432,0.123074,0.170452,0.140506,-0.46859,0.533717,-0.027466,0.082341,0.17579,0.277263,0.347537,426.098,PRE_INTERVENTION,36NXF,135,02.14
2020-05-21,sentinel2,20200521T074609_20200521T080518_T36NXF,PRE,0.08,3.009041,0.578737,0.212675,-0.037518,0.910088,0.252207,0.443411,0.623156,0.75196,0.82221,-0.075803,0.145627,-0.452055,0.430315,-0.267617,-0.185614,-0.075998,0.029287,0.126953,0.156118,0.143943,-0.469831,0.517839,-0.048933,0.060644,0.16608,0.263677,0.337854,386.686,PRE_INTERVENTION,36NXF,135,02.14
2020-05-26,sentinel2,20200526T074621_20200526T080832_T36NXF,PRE,19.92,20.812364,0.53769,0.214803,-0.110364,0.916433,0.222665,0.370889,0.566401,0.722476,0.808558,-0.074649,0.137672,-0.490438,0.362027,-0.259691,-0.173933,-0.072161,0.025404,0.107218,0.157899,0.136618,-0.381701,0.558753,-0.025169,0.064455,0.158241,0.25584,0.333919,350.966,PRE_INTERVENTION,36NXF,135,02.14
