date,source,aoi_tile,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_p10,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_p90,NDWI_mean,NDWI_std,NDWI_min,NDWI_max,NDWI_p10,NDWI_p25,NDWI_p50,NDWI_p75,NDWI_p90,NDMI_mean,NDMI_std,NDMI_min,NDMI_max,NDMI_p10,NDMI_p25,NDMI_p50,NDMI_p75,NDMI_p90,chirps_30d_mm,flags,mgrs_tile,orbit_number,processing_baseline,RVI_mean,RVI_std,RVI_min,RVI_max,RVI_p10,RVI_p25,RVI_p50,RVI_p75,RVI_p90,VH_VV_mean,VH_VV_std,VH_VV_min,VH_VV_max,VH_VV_p10,VH_VV_p25,VH_VV_p50,VH_VV_p75,VH_VV_p90
2016-07-07,sentinel1,E,S1A_IW_GRDH_1SDV_20160706T154726_20160706T154751_012029_012957_D31D,PRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.877,PRE_INTERVENTION,,57,,0.868013,0.30173,0.205239,2.563586,0.508138,0.648937,0.835626,1.055349,1.273708,-5.822323,1.989437,-12.66925,2.515682,-8.40947,-7.154457,-5.78207,-4.466704,-3.275892
2016-07-07,sentinel1,N,S1A_IW_GRDH_1SDV_20160706T154726_20160706T154751_012029_012957_D31D,PRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.877,PRE_INTERVENTION,,57,,0.993928,0.310818,0.195014,2.264071,0.617057,0.757225,0.95987,1.195812,1.430516,-5.001406,1.856994,-12.902863,1.153582,-7.402419,-6.282097,-4.965652,-3.718225,-2.595295
2016-07-07,sentinel1,NE,S1A_IW_GRDH_1SDV_20160706T154726_20160706T154751_012029_012957_D31D,PRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.877,PRE_INTERVENTION,,57,,0.934064,0.301472,0.214549,2.29696,0.570199,0.727627,0.913774,1.117097,1.336489,-5.371023,1.881301,-12.465902,1.299287,-7.777839,-6.597634,-5.344121,-4.157828,-3.023914
2016-07-07,sentinel1,NW,S1A_IW_GRDH_1SDV_20160706T154726_20160706T154751_012029_012957_D31D,PRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.877,PRE_INTERVENTION,,57,,0.937622,0.283999,0.206246,2.0225,0.588734,0.729639,0.910017,1.120689,1.324095,-5.330256,1.785477,-12.646835,0.097719,-7.597983,-6.536801,-5.285932,-4.092528,-3.096619
2016-07-07,sentinel1,S,S1A_IW_GRDH_1SDV_20160706T154726_20160706T154751_012029_012957_D31D,PRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.877,PRE_INTERVENTION,,57,,0.921912,0.330832,0.215574,2.324558,0.524819,0.680479,0.882891,1.117638,1.382823,-5.49292,2.076306,-12.444043,1.422111,-8.157273,-6.845983,-5.534886,-4.089893,-2.781168
2016-07-07,sentinel1,SE,S1A_IW_GRDH_1SDV_20160706T154726_20160706T154751_012029_012957_D31D,PRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.877,PRE_INTERVENTION,,57,,0.90914,0.32969,0.255729,2.694761,0.508651,0.663859,0.866854,1.101307,1.352527,-5.57057,2.065025,-11.655873,3.1483,-8.27902,-6.973242,-5.532368,-4.218826,-2.969286
2016-07-07,sentinel1,SW,S1A_IW_GRDH_1SDV_20160706T154726_20160706T154751_012029_012957_D31D,PRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.877,PRE_INTERVENTION,,57,,0.904303,0.310457,0.152152,2.11003,0.526929,0.684236,0.878763,1.088899,1.316941,-5.592567,2.016769,-14.029406,0.478337,-8.216163,-6.840584,-5.468786,-4.285007,-3.088655
2016-07-07,sentinel1,W,S1A_IW_GRDH_1SDV_20160706T154726_20160706T154751_012029_012957_D31D,PRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.877,PRE_INTERVENTION,,57,,0.956279,0.326096,0.296261,2.289059,0.574268,0.706879,0.91006,1.152294,1.401876,-5.256807,1.974487,-10.969664,1.264221,-7.780393,-6.653777,-5.284301,-3.904025,-2.662116
2016-07-07,sentinel1,center,S1A_IW_GRDH_1SDV_20160706T154726_20160706T154751_012029_012957_D31D,PRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.877,PRE_INTERVENTION,,57,,0.876188,0.305468,0.151619,2.023284,0.496041,0.659875,0.847882,1.065895,1.285563,-5.776317,2.025093,-14.045252,0.101125,-8.469562,-7.029908,-5.716194,-4.409423,-3.28634
2016-07-23,sentinel2,,S2A_MSIL2A_20160723T073622_N0500_R092_T37MCU_20231007T185430.SAFE,PRE,0.0,,0.3807665910185876,0.0854107278854984,0.06659328559901305,0.7261313866493047,0.2778636695175148,0.3164289486750056,0.3742098608172535,0.4382445139692023,0.4944876142182875,-0.4753328499633012,0.056052193973182785,-0.7276446520375088,-0.07547169807132537,-0.5437005588051073,-0.5080979282455376,-0.4729574221430927,-0.44255164898783916,-0.4170453918415958,-0.068039253473151,0.06336646087479136,-0.2153188021561787,0.16116313452256226,-0.14341222775474338,-0.11318927555197181,-0.07523826152228613,-0.026905889386095408,0.02137599835500258,0.0,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
2016-07-23,sentinel2,,S2A_MSIL2A_20160723T073622_N0500_R092_T37MCU_20231007T185430.SAFE,PRE,0.0,,0.3807665910185876,0.0854107278854984,0.06659328559901305,0.7261313866493047,0.2778636695175148,0.3164289486750056,0.3742098608172535,0.4382445139692023,0.4944876142182875,-0.4753328499633012,0.056052193973182785,-0.7276446520375088,-0.07547169807132537,-0.5437005588051073,-0.5080979282455376,-0.4729574221430927,-0.44255164898783916,-0.4170453918415958,-0.068039253473151,0.06336646087479136,-0.2153188021561787,0.16116313452256226,-0.14341222775474338,-0.11318927555197181,-0.07523826152228613,-0.026905889386095408,0.02137599835500258,0.0,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
2016-07-23,sentinel2,,S2A_MSIL2A_20160723T073622_N0500_R092_T37MCU_20231007T185430.SAFE,PRE,0.0,,0.3807665910185876,0.0854107278854984,0.06659328559901305,0.7261313866493047,0.2778636695175148,0.3164289486750056,0.3742098608172535,0.4382445139692023,0.4944876142182875,-0.4753328499633012,0.056052193973182785,-0.7276446520375088,-0.07547169807132537,-0.5437005588051073,-0.5080979282455376,-0.4729574221430927,-0.44255164898783916,-0.4170453918415958,-0.068039253473151,0.06336646087479136,-0.2153188021561787,0.16116313452256226,-0.14341222775474338,-0.11318927555197181,-0.07523826152228613,-0.026905889386095408,0.02137599835500258,0.0,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
