date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,aoi_covered,in_clean_set,flags
2016-01-05,sentinel2,S2A_MSIL2A_20160105T075212_N0500_R092_T37MCU_20231024T214209.SAFE,PRE,59.778225806451616,,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|PRE_INTERVENTION
2016-01-25,sentinel2,S2A_MSIL2A_20160125T074212_N0500_R092_T37MCU_20231024T103539.SAFE,PRE,0.0,,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2016-02-04,sentinel2,S2A_MSIL2A_20160204T075212_N0500_R092_T37MCU_20231029T091747.SAFE,PRE,,,True,False,NO_DATA
2016-02-14,sentinel2,S2A_MSIL2A_20160214T074022_N0500_R092_T37MCU_20231031T015703.SAFE,PRE,20.060483870967737,,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|PRE_INTERVENTION
2016-03-05,sentinel2,S2A_MSIL2A_20160305T073812_N0500_R092_T37MCU_20231020T065115.SAFE,PRE,97.78225806451613,,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|PRE_INTERVENTION
2016-03-15,sentinel2,S2A_MSIL2A_20160315T075212_N0500_R092_T37MCU_20231005T215428.SAFE,PRE,0.0,,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2016-03-25,sentinel2,S2A_MSIL2A_20160325T073552_N0500_R092_T37MCU_20231020T095945.SAFE,PRE,6.1491935483871,,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2016-04-14,sentinel2,S2A_MSIL2A_20160414T075212_N0500_R092_T37MCU_20231105T020718.SAFE,PRE,16.129032258064512,,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2016-07-23,sentinel2,S2A_MSIL2A_20160723T073622_N0500_R092_T37MCU_20231007T185430.SAFE,PRE,0.0,,True,True,PRE_INTERVENTION
2016-08-02,sentinel2,S2A_MSIL2A_20160802T075222_N0500_R092_T37MCU_20231002T063552.SAFE,PRE,0.10080645161290036,,True,True,PRE_INTERVENTION
2016-08-22,sentinel2,S2A_MSIL2A_20160822T075212_N0500_R092_T37MCU_20231005T022044.SAFE,PRE,0.0,,True,True,PRE_INTERVENTION
2016-09-11,sentinel2,S2A_MSIL2A_20160911T075212_N0500_R092_T37MCU_20230929T112959.SAFE,PRE,70.16129032258065,,True,False,HIGH_AOI_CLOUD|PRE_INTERVENTION
2016-10-01,sentinel2,S2A_MSIL2A_20161001T075212_N0500_R092_T37MCU_20231028T075441.SAFE,PRE,100.0,,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|PRE_INTERVENTION
2016-10-21,sentinel2,S2A_MSIL2A_20161021T075212_N0500_R092_T37MCU_20230927T074819.SAFE,PRE,2.318548387096775,,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2016-10-31,sentinel2,S2A_MSIL2A_20161031T074042_N0500_R092_T37MCU_20230929T112712.SAFE,PRE,48.99193548387096,,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|PRE_INTERVENTION
2016-11-30,sentinel2,S2A_MSIL2A_20161130T074252_N0500_R092_T37MCU_20231029T041717.SAFE,PRE,,,True,False,NO_DATA
2016-12-10,sentinel2,S2A_MSIL2A_20161210T074312_N0500_R092_T37MCU_20231021T141124.SAFE,PRE,100.0,,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|PRE_INTERVENTION
2016-12-20,sentinel2,S2A_MSIL2A_20161220T075212_N0500_R092_T37MCU_20231027T044240.SAFE,PRE,0.0,,True,True,OUT_OF_SEASON|PRE_INTERVENTION
