date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,aoi_covered,in_clean_set,flags
2019-01-09,sentinel2,20190109T074301_20190109T074303_T37MBU,PRE,0.13,7.415884,True,True,PRE_INTERVENTION
2019-01-09,sentinel2,20190109T074301_20190109T074303_T37MCU,PRE,0.13,25.793664,True,True,PRE_INTERVENTION
2019-01-14,sentinel2,20190114T074249_20190114T075309_T37MBU,PRE,0.49,5.055103,True,True,PRE_INTERVENTION
2019-01-14,sentinel2,20190114T074249_20190114T075309_T37MCU,PRE,0.49,32.672637,True,True,PRE_INTERVENTION
2019-01-19,sentinel2,20190119T074231_20190119T074232_T37MBU,PRE,0.18,3.825804,True,True,PRE_INTERVENTION
2019-01-19,sentinel2,20190119T074231_20190119T074232_T37MCU,PRE,0.18,18.483107,True,True,PRE_INTERVENTION
2019-01-24,sentinel2,20190124T074219_20190124T075700_T37MBU,PRE,2.74,2.845644,True,True,PRE_INTERVENTION
2019-01-24,sentinel2,20190124T074219_20190124T075700_T37MCU,PRE,2.71,27.472905,True,True,PRE_INTERVENTION
2019-01-29,sentinel2,20190129T074151_20190129T074148_T37MBU,PRE,0.04,13.136064,True,True,PRE_INTERVENTION
2019-01-29,sentinel2,20190129T074151_20190129T074148_T37MCU,PRE,0.04,30.089311,True,True,PRE_INTERVENTION
2019-02-03,sentinel2,20190203T074129_20190203T075653_T37MBU,PRE,0.0,0.001699,True,True,PRE_INTERVENTION
2019-02-03,sentinel2,20190203T074129_20190203T075653_T37MCU,PRE,0.0,0.147365,True,True,PRE_INTERVENTION
2019-02-08,sentinel2,20190208T074051_20190208T075104_T37MBU,PRE,53.46,24.064482,True,False,HIGH_AOI_CLOUD|PRE_INTERVENTION
2019-02-13,sentinel2,20190213T074029_20190213T075212_T37MBU,PRE,73.87,24.75591,True,False,HIGH_AOI_CLOUD|PRE_INTERVENTION
2019-02-13,sentinel2,20190213T074029_20190213T075212_T37MCU,PRE,73.89,43.123174,True,False,HIGH_AOI_CLOUD|PRE_INTERVENTION
2019-02-18,sentinel2,20190218T073951_20190218T075657_T37MBU,PRE,0.0,0.634218,True,True,PRE_INTERVENTION
2019-02-18,sentinel2,20190218T073951_20190218T075657_T37MCU,PRE,0.0,2.871576,True,True,PRE_INTERVENTION
2019-02-23,sentinel2,20190223T073919_20190223T075720_T37MBU,PRE,55.74,37.936414,True,False,HIGH_AOI_CLOUD|PRE_INTERVENTION
2019-02-28,sentinel2,20190228T073841_20190228T075022_T37MBU,PRE,0.0,0.008908,True,True,PRE_INTERVENTION
