date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_p10,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_p90,BSI_mean,BSI_std,BSI_min,BSI_max,BSI_p10,BSI_p25,BSI_p50,BSI_p75,BSI_p90,NDMI_mean,NDMI_std,NDMI_min,NDMI_max,NDMI_p10,NDMI_p25,NDMI_p50,NDMI_p75,NDMI_p90,chirps_30d_mm,flags,mgrs_tile,orbit_number,processing_baseline
2019-01-09,sentinel2,20190109T074301_20190109T074303_T37MBU,PRE,0.13,7.415884,0.457073,0.095903,0.101625,0.739802,0.330123,0.396473,0.458852,0.517588,0.575967,-0.069339,0.05418,-0.245314,0.174275,-0.135665,-0.104477,-0.073243,-0.034291,0.001099,0.154342,0.053739,-0.073566,0.329296,0.085022,0.11823,0.159197,0.18841,0.219636,155.173,PRE_INTERVENTION,37MBU,92,02.11
2019-01-09,sentinel2,20190109T074301_20190109T074303_T37MCU,PRE,0.13,25.793664,0.456739,0.100642,0.083839,0.754135,0.322192,0.392381,0.45889,0.521474,0.579965,-0.07013,0.055807,-0.250123,0.183498,-0.137741,-0.106359,-0.073282,-0.034172,0.002849,0.155676,0.055076,-0.0792,0.335225,0.084951,0.120072,0.161163,0.190392,0.221611,155.173,PRE_INTERVENTION,37MCU,92,02.11
2019-01-14,sentinel2,20190114T074249_20190114T075309_T37MBU,PRE,0.49,5.055103,0.551877,0.214653,-0.265918,0.903293,0.222118,0.394693,0.597926,0.722724,0.800601,-0.048976,0.136525,-0.446936,0.383241,-0.236431,-0.146303,-0.048911,0.052774,0.130853,0.133014,0.136991,-0.341798,0.480267,-0.048907,0.033214,0.138633,0.232593,0.314622,3.267,PRE_INTERVENTION,37MBU,92,02.11
2019-01-14,sentinel2,20190114T074249_20190114T075309_T37MCU,PRE,0.49,32.672637,0.549849,0.219211,-0.313288,0.907711,0.21427,0.394381,0.597696,0.730443,0.801293,-0.050978,0.13777,-0.455365,0.384051,-0.240453,-0.146541,-0.048607,0.052616,0.130987,0.133133,0.138412,-0.346263,0.483467,-0.052671,0.033269,0.138609,0.232442,0.318421,3.267,PRE_INTERVENTION,37MCU,92,02.11
2019-01-19,sentinel2,20190119T074231_20190119T074232_T37MBU,PRE,0.18,3.825804,0.548861,0.213883,-0.194682,0.898377,0.222851,0.409957,0.598012,0.715081,0.792794,-0.028372,0.137058,-0.436744,0.362884,-0.212582,-0.123147,-0.025306,0.076299,0.154237,0.118197,0.135216,-0.329227,0.477005,-0.064621,0.025371,0.123059,0.213092,0.294753,23.001,PRE_INTERVENTION,37MBU,92,02.11
2019-01-19,sentinel2,20190119T074231_20190119T074232_T37MCU,PRE,0.18,18.483107,0.543058,0.212899,-0.198502,0.892933,0.222676,0.402196,0.589975,0.714971,0.784965,-0.031545,0.135971,-0.436712,0.355801,-0.216648,-0.126933,-0.029265,0.072155,0.1466,0.118263,0.135138,-0.328988,0.476655,-0.064547,0.02528,0.12302,0.213011,0.29492,23.001,PRE_INTERVENTION,37MCU,92,02.11
2019-01-24,sentinel2,20190124T074219_20190124T075700_T37MBU,PRE,2.74,2.845644,0.514941,0.19573,-0.190332,0.898568,0.238395,0.378537,0.535217,0.667752,0.761527,-0.031561,0.125505,-0.410137,0.397482,-0.20136,-0.11524,-0.033114,0.060582,0.130886,0.112623,0.119849,-0.345762,0.453231,-0.048793,0.029214,0.119117,0.193286,0.267676,20.022,PRE_INTERVENTION,37MBU,92,02.11
2019-01-24,sentinel2,20190124T074219_20190124T075700_T37MCU,PRE,2.71,27.472905,0.512755,0.201408,-0.23053,0.903503,0.222624,0.371432,0.52718,0.667976,0.76931,-0.032857,0.127182,-0.414649,0.4006,-0.20542,-0.119063,-0.03327,0.060626,0.134701,0.11128,0.122004,-0.349828,0.457199,-0.052757,0.029273,0.119049,0.193187,0.271399,20.022,PRE_INTERVENTION,37MCU,92,02.11
2019-01-29,sentinel2,20190129T074151_20190129T074148_T37MBU,PRE,0.04,13.136064,0.498309,0.195428,-0.039664,0.881729,0.208743,0.365289,0.53336,0.646578,0.73244,-0.004259,0.116973,-0.400112,0.331429,-0.16189,-0.08019,0.001867,0.084041,0.142453,0.095256,0.118807,-0.292107,0.471478,-0.060658,0.013771,0.09589,0.173593,0.247879,19.734,PRE_INTERVENTION,37MBU,92,02.11
2019-01-29,sentinel2,20190129T074151_20190129T074148_T37MCU,PRE,0.04,30.089311,0.499246,0.203654,-0.083141,0.896425,0.19775,0.361566,0.533537,0.654283,0.740157,-0.005618,0.119392,-0.410944,0.335143,-0.165943,-0.084008,0.00206,0.083889,0.142661,0.095472,0.121174,-0.299197,0.477461,-0.060606,0.013719,0.099511,0.173902,0.251598,19.734,PRE_INTERVENTION,37MCU,92,02.11
