date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,aoi_covered,in_clean_set,flags
2019-01-09,sentinel2,20190109T074301_20190109T074303_T37MCV,PRE,0.71,11.25915,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2019-01-14,sentinel2,20190114T074249_20190114T075309_T37MCV,PRE,15.76,26.837523,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2019-01-19,sentinel2,20190119T074231_20190119T074232_T37MCV,PRE,5.03,10.868222,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2019-01-24,sentinel2,20190124T074219_20190124T075700_T37MCV,PRE,13.67,10.187076,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2019-01-29,sentinel2,20190129T074151_20190129T074148_T37MCV,PRE,13.72,21.835662,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2019-02-03,sentinel2,20190203T074129_20190203T075653_T37MCV,PRE,0.0,0.171061,True,True,PRE_INTERVENTION
2019-02-13,sentinel2,20190213T074029_20190213T075212_T37MCV,PRE,0.0,13.652678,True,True,PRE_INTERVENTION
2019-02-18,sentinel2,20190218T073951_20190218T075657_T37MCV,PRE,0.0,2.435539,True,True,PRE_INTERVENTION
2019-02-23,sentinel2,20190223T073919_20190223T075720_T37MCV,PRE,61.68,47.451594,True,False,HIGH_AOI_CLOUD|PRE_INTERVENTION
2019-02-28,sentinel2,20190228T073841_20190228T075022_T37MCV,PRE,0.0,0.960156,True,True,PRE_INTERVENTION
2019-03-05,sentinel2,20190305T073809_20190305T075314_T37MCV,PRE,40.11,30.971465,True,False,HIGH_AOI_CLOUD|PRE_INTERVENTION
2019-03-10,sentinel2,20190310T073731_20190310T074946_T37MCV,PRE,0.65,1.131264,True,True,PRE_INTERVENTION
2019-03-15,sentinel2,20190315T073659_20190315T075846_T37MCV,PRE,20.27,9.794417,True,False,HIGH_AOI_CLOUD|PRE_INTERVENTION
2019-03-20,sentinel2,20190320T073621_20190320T075937_T37MCV,PRE,1.53,31.139852,True,True,PRE_INTERVENTION
2019-03-30,sentinel2,20190330T073611_20190330T075523_T37MCV,PRE,11.22,14.535721,True,True,PRE_INTERVENTION
2019-04-09,sentinel2,20190409T073611_20190409T075550_T37MCV,PRE,28.87,20.690074,True,False,HIGH_AOI_CLOUD|PRE_INTERVENTION
2019-04-14,sentinel2,20190414T073619_20190414T074851_T37MCV,PRE,82.51,38.658801,True,False,HIGH_AOI_CLOUD|PRE_INTERVENTION
2019-04-14,sentinel2,20190414T073619_20190414T080013_T37MCV,PRE,61.9,27.125691,False,False,HIGH_AOI_CLOUD|PRE_INTERVENTION|PARTIAL_AOI_COVERAGE
