date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_p10,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_p90,NDWI_mean,NDWI_std,NDWI_min,NDWI_max,NDWI_p10,NDWI_p25,NDWI_p50,NDWI_p75,NDWI_p90,MNDWI_mean,MNDWI_std,MNDWI_min,MNDWI_max,MNDWI_p10,MNDWI_p25,MNDWI_p50,MNDWI_p75,MNDWI_p90,chirps_30d_mm,flags,mgrs_tile,orbit_number,processing_baseline
2019-02-03,sentinel2,20190203T074129_20190203T075653_T37MCV,PRE,0.0,0.171061,0.530423,0.188709,0.010748,0.871443,0.267585,0.376924,0.564369,0.701233,0.751857,-0.526333,0.10263,-0.787948,-0.069905,-0.638695,-0.603554,-0.548841,-0.462911,-0.384704,-0.429621,0.067183,-0.672354,0.468401,-0.50382,-0.472496,-0.433581,-0.394533,-0.355536,36.03,PRE_INTERVENTION,37MCV,92,02.11
2019-02-13,sentinel2,20190213T074029_20190213T075212_T37MCV,PRE,0.0,13.652678,0.477841,0.177413,-0.000995,0.853573,0.236295,0.33409,0.498007,0.630873,0.693309,-0.490406,0.096842,-0.783368,-0.063898,-0.599606,-0.560492,-0.505878,-0.427783,-0.361496,-0.424447,0.062203,-0.634728,0.200256,-0.501997,-0.46287,-0.423858,-0.388628,-0.353525,8.586,PRE_INTERVENTION,37MCV,92,02.11
2019-02-18,sentinel2,20190218T073951_20190218T075657_T37MCV,PRE,0.0,2.435539,0.481411,0.17275,-0.023865,0.894962,0.244124,0.34958,0.498042,0.623084,0.693436,-0.503182,0.100213,-0.836145,-0.022196,-0.615152,-0.572248,-0.517606,-0.447252,-0.373159,-0.4407,0.075583,-0.711224,0.516667,-0.527333,-0.480417,-0.441408,-0.402404,-0.363509,12.822,PRE_INTERVENTION,37MCV,92,02.11
2019-02-28,sentinel2,20190228T073841_20190228T075022_T37MCV,PRE,0.0,0.960156,0.40088,0.15106,-0.022053,0.872826,0.216786,0.291059,0.388687,0.509744,0.607364,-0.460017,0.093006,-0.816775,0.0042,-0.572299,-0.521462,-0.458988,-0.404293,-0.349591,-0.445561,0.06809,-0.684032,0.318445,-0.519288,-0.488276,-0.449256,-0.410323,-0.371204,14.898,PRE_INTERVENTION,37MCV,92,02.11
2019-03-10,sentinel2,20190310T073731_20190310T074946_T37MCV,PRE,0.65,1.131264,0.330402,0.128479,-0.01385,0.840973,0.185577,0.244209,0.31444,0.396478,0.509758,-0.41735,0.088648,-0.776507,0.003599,-0.529277,-0.466768,-0.415958,-0.36908,-0.310584,-0.429172,0.085746,-0.66623,0.490058,-0.511525,-0.480438,-0.441383,-0.402413,-0.33988,7.733,PRE_INTERVENTION,37MCV,92,02.11
2019-03-20,sentinel2,20190320T073621_20190320T075937_T37MCV,PRE,1.53,31.139852,0.302944,0.121032,-0.009371,0.826595,0.169994,0.228511,0.287159,0.361381,0.45895,-0.396761,0.08637,-0.760563,0.017891,-0.50183,-0.443313,-0.39654,-0.349657,-0.291139,-0.433432,0.080324,-0.654854,0.366625,-0.51163,-0.480404,-0.449203,-0.402496,-0.339951,2.593,PRE_INTERVENTION,37MCV,92,02.11
2019-03-30,sentinel2,20190330T073611_20190330T075523_T37MCV,PRE,11.22,14.535721,0.325183,0.138735,-0.066792,0.860494,0.173834,0.228548,0.302698,0.400416,0.513646,-0.391978,0.105877,-0.790171,0.060783,-0.521496,-0.451163,-0.392623,-0.333919,-0.255938,-0.421007,0.10041,-0.709357,0.41236,-0.519419,-0.488271,-0.441426,-0.378864,-0.27747,22.741,PRE_INTERVENTION,37MCV,92,02.11
2019-04-19,sentinel2,20190419T073621_20190419T075106_T37MCV,PRE,15.89,22.880804,0.332462,0.160625,-0.160908,0.872095,0.168123,0.222718,0.292938,0.417763,0.574095,-0.385294,0.11265,-0.770978,0.01889,-0.537187,-0.455073,-0.376936,-0.314456,-0.244223,-0.418079,0.09049,-0.651717,0.296884,-0.509743,-0.482457,-0.439489,-0.37317,-0.283235,22.741,PRE_INTERVENTION,37MCV,92,02.11
2019-04-29,sentinel2,20190429T073621_20190429T075426_T37MCV,PRE,11.42,14.37562,0.411778,0.186517,-0.102593,0.888948,0.189516,0.263643,0.384744,0.548809,0.689378,-0.412977,0.133693,-0.787989,0.024119,-0.591818,-0.509788,-0.416071,-0.322147,-0.228387,-0.379479,0.097914,-0.726306,0.193884,-0.494089,-0.451108,-0.392601,-0.314467,-0.240312,204.627,PRE_INTERVENTION,37MCV,92,02.11
2019-09-16,sentinel2,20190916T073611_20190916T075413_T37MCV,PRE,6.91,4.97857,0.533281,0.251714,-0.120496,0.889315,0.183727,0.292803,0.558583,0.784986,0.832102,-0.509027,0.153514,-0.777645,-0.035783,-0.693361,-0.650366,-0.529161,-0.384851,-0.294947,-0.420175,0.084615,-0.773731,0.485961,-0.496082,-0.472572,-0.441426,-0.394565,-0.300578,29.049,PRE_INTERVENTION,37MCV,92,02.13
