date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_p10,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_p90,NDWI_mean,NDWI_std,NDWI_min,NDWI_max,NDWI_p10,NDWI_p25,NDWI_p50,NDWI_p75,NDWI_p90,BSI_mean,BSI_std,BSI_min,BSI_max,BSI_p10,BSI_p25,BSI_p50,BSI_p75,BSI_p90,chirps_30d_mm,flags,mgrs_tile,orbit_number,processing_baseline
2019-04-04,sentinel2,20190404T073619_20190404T075837_T36MZE,PRE,0.21,13.16099,0.223791,0.143857,-0.044276,0.765517,0.064432,0.122948,0.189482,0.298996,0.439223,-0.299201,0.129991,-0.721308,0.035422,-0.48235,-0.380861,-0.291056,-0.208958,-0.134722,0.116554,0.064126,-0.249582,0.310901,0.040889,0.099792,0.130813,0.154244,0.177559,9.899,PRE_INTERVENTION,36MZE,92,02.11
2019-04-04,sentinel2,20190404T073619_20190404T075837_T37MBV,PRE,0.21,32.413206,0.227553,0.152783,-0.064231,0.793516,0.060556,0.119085,0.18957,0.306507,0.455133,-0.304456,0.139677,-0.744661,0.064231,-0.502061,-0.392487,-0.295016,-0.208937,-0.126745,0.116645,0.06572,-0.258929,0.342928,0.037201,0.095766,0.130853,0.15425,0.177784,9.899,PRE_INTERVENTION,37MBV,92,02.11
2019-04-09,sentinel2,20190409T073611_20190409T075550_T36MZE,PRE,0.15,13.079363,0.226639,0.154725,-0.151394,0.799948,0.060601,0.115306,0.189336,0.302817,0.459044,-0.313519,0.138987,-0.750628,0.05613,-0.513651,-0.400517,-0.298838,-0.2167,-0.138825,0.134912,0.06791,-0.26076,0.327736,0.052782,0.11531,0.150409,0.173873,0.197222,9.899,PRE_INTERVENTION,36MZE,92,02.11
2019-04-09,sentinel2,20190409T073611_20190409T075550_T37MBV,PRE,0.18,16.143932,0.224165,0.150274,-0.153141,0.786919,0.060556,0.119182,0.185658,0.298852,0.451267,-0.308952,0.134137,-0.730565,0.068395,-0.49811,-0.392571,-0.29501,-0.216895,-0.138823,0.132602,0.067132,-0.257385,0.34293,0.052641,0.115288,0.146452,0.173801,0.193288,9.899,PRE_INTERVENTION,37MBV,92,02.11
2019-04-14,sentinel2,20190414T073619_20190414T080013_T36MZE,PRE,0.24,10.74458,0.223982,0.152286,-0.103139,0.781818,0.060469,0.115202,0.185568,0.298787,0.455041,-0.306119,0.141017,-0.748642,0.053382,-0.50958,-0.392486,-0.29099,-0.205193,-0.134764,0.115503,0.06268,-0.233814,0.310115,0.037101,0.095802,0.130908,0.154254,0.173616,9.899,PRE_INTERVENTION,36MZE,92,02.11
2019-04-14,sentinel2,20190414T073619_20190414T080013_T37MBV,PRE,0.24,29.111823,0.215774,0.136302,-0.081058,0.711975,0.068373,0.119195,0.181625,0.283117,0.419982,-0.291265,0.123297,-0.67955,0.026497,-0.466998,-0.369057,-0.279316,-0.204965,-0.134802,0.110746,0.060017,-0.21063,0.3145,0.033101,0.091735,0.123095,0.146474,0.165953,9.899,PRE_INTERVENTION,37MBV,92,02.11
2019-04-19,sentinel2,20190419T073621_20190419T075106_T36MZE,PRE,0.19,3.476665,0.225477,0.155216,-0.208265,0.799373,0.058344,0.121136,0.183696,0.301032,0.457051,-0.315421,0.139404,-0.747336,0.060039,-0.51772,-0.400605,-0.298814,-0.220713,-0.142536,0.130185,0.068455,-0.247481,0.337076,0.045165,0.1113,0.146407,0.169901,0.193326,9.899,PRE_INTERVENTION,36MZE,92,02.11
2019-04-19,sentinel2,20190419T073621_20190419T075106_T37MBV,PRE,0.26,13.015541,0.225223,0.156145,-0.219459,0.802649,0.058695,0.113421,0.183811,0.300654,0.464889,-0.314387,0.140151,-0.74561,0.063554,-0.517443,-0.396524,-0.298708,-0.216931,-0.142585,0.1291,0.068666,-0.268206,0.339239,0.045037,0.111341,0.146455,0.169799,0.193267,9.899,PRE_INTERVENTION,37MBV,92,02.11
2019-04-29,sentinel2,20190429T073621_20190429T075426_T36MZE,PRE,17.67,43.912713,0.246198,0.117777,-0.006482,0.630003,0.099465,0.158186,0.228669,0.322216,0.419762,-0.280891,0.100747,-0.570701,0.029958,-0.423949,-0.349718,-0.275244,-0.208889,-0.150359,0.052734,0.05566,-0.208345,0.196488,-0.024402,0.028338,0.061516,0.090905,0.112364,99.966,PRE_INTERVENTION,36MZE,92,02.11
2019-04-29,sentinel2,20190429T073621_20190429T075426_T37MBV,PRE,17.78,44.525314,0.242058,0.1156,-0.013338,0.630366,0.099719,0.154384,0.228462,0.314447,0.416056,-0.276331,0.098575,-0.560584,0.023535,-0.416083,-0.341956,-0.271585,-0.205142,-0.146665,0.052575,0.054932,-0.221493,0.198729,-0.024292,0.028394,0.06153,0.0888,0.112305,99.966,PRE_INTERVENTION,37MBV,92,02.11
2019-05-04,sentinel2,20190504T073619_20190504T075111_T36MZE,PRE,2.02,12.427824,0.275376,0.177008,-0.125752,0.822917,0.064509,0.138866,0.244247,0.380804,0.548777,-0.324684,0.155055,-0.730729,0.064916,-0.548853,-0.431812,-0.318491,-0.208829,-0.119242,0.098398,0.083526,-0.400083,0.368339,-0.017462,0.064375,0.119191,0.154263,0.181544,99.966,PRE_INTERVENTION,36MZE,92,02.11
2019-05-04,sentinel2,20190504T073619_20190504T075111_T37MBV,PRE,2.28,40.615313,0.274597,0.176623,-0.127003,0.800255,0.064593,0.13879,0.244348,0.37685,0.548907,-0.322886,0.154419,-0.731569,0.05907,-0.549075,-0.4277,-0.318338,-0.204943,-0.115228,0.097275,0.083537,-0.338289,0.361981,-0.01764,0.060665,0.115178,0.154251,0.181735,99.966,PRE_INTERVENTION,37MBV,92,02.11
2019-05-09,sentinel2,20190509T073621_20190509T075509_T36MZE,PRE,0.03,8.096374,0.306085,0.193534,-0.0642,0.827694,0.060341,0.158117,0.287049,0.431761,0.595674,-0.354245,0.163606,-0.749247,0.084727,-0.584023,-0.466738,-0.357496,-0.240178,-0.13072,0.100567,0.090079,-0.342626,0.341143,-0.029126,0.068466,0.12305,0.162102,0.185538,99.966,PRE_INTERVENTION,36MZE,92,02.12
2019-05-09,sentinel2,20190509T073621_20190509T075509_T37MBV,PRE,0.07,11.783319,0.306795,0.195685,-0.074259,0.8478,0.056566,0.154186,0.283234,0.435767,0.603742,-0.35453,0.165516,-0.747838,0.092374,-0.587912,-0.470658,-0.357286,-0.236201,-0.130517,0.099536,0.090618,-0.332017,0.352735,-0.029197,0.068357,0.123113,0.158331,0.185444,99.966,PRE_INTERVENTION,37MBV,92,02.12
2019-05-14,sentinel2,20190514T073619_20190514T074937_T36MZE,PRE,0.31,29.375021,0.276258,0.161902,-0.031733,0.772962,0.080101,0.154388,0.251949,0.372906,0.525428,-0.323468,0.141053,-0.695618,0.038409,-0.525644,-0.420061,-0.318372,-0.220573,-0.138691,0.079083,0.073678,-0.294566,0.304444,-0.024979,0.056776,0.095791,0.126863,0.150325,99.966,PRE_INTERVENTION,36MZE,92,02.12
2019-05-14,sentinel2,20190514T073619_20190514T074937_T37MBV,PRE,0.34,48.453831,0.277237,0.164006,-0.035615,0.765967,0.076329,0.150429,0.251947,0.376966,0.529166,-0.323993,0.14316,-0.695751,0.037176,-0.529387,-0.41996,-0.318325,-0.220687,-0.134963,0.078358,0.074093,-0.284971,0.32643,-0.025343,0.052597,0.095747,0.126895,0.150291,99.966,PRE_INTERVENTION,37MBV,92,02.12
2019-05-19,sentinel2,20190519T073621_20190519T075733_T36MZE,PRE,0.46,18.225211,0.331462,0.200698,-0.145374,0.865125,0.066423,0.176053,0.316543,0.464533,0.629108,-0.37706,0.171994,-0.778908,0.114191,-0.607596,-0.497961,-0.384901,-0.260062,-0.134561,0.079291,0.097131,-0.354871,0.339795,-0.060654,0.041005,0.103587,0.146349,0.177642,99.966,PRE_INTERVENTION,36MZE,92,02.12
2019-05-19,sentinel2,20190519T073621_20190519T075733_T37MBV,PRE,0.47,33.078111,0.330984,0.201312,-0.151471,0.871979,0.066642,0.175831,0.316291,0.456833,0.628909,-0.375916,0.17255,-0.78125,0.129126,-0.611604,-0.494131,-0.384829,-0.255955,-0.134881,0.078141,0.097221,-0.376977,0.342728,-0.064346,0.04118,0.103507,0.142489,0.173766,99.966,PRE_INTERVENTION,37MBV,92,02.12
2019-05-29,sentinel2,20190529T073621_20190529T075508_T36MZE,PRE,1.56,37.219355,0.329949,0.138366,-0.01892,0.783521,0.150478,0.21677,0.330079,0.43179,0.50576,-0.336008,0.11581,-0.71499,-0.011469,-0.482322,-0.415912,-0.341937,-0.244064,-0.181824,0.016888,0.069684,-0.315392,0.283549,-0.075976,-0.025341,0.025372,0.060447,0.099587,0.0,PRE_INTERVENTION,36MZE,92,02.12
2019-05-29,sentinel2,20190529T073621_20190529T075508_T37MBV,PRE,1.4,40.442074,0.328962,0.137831,-0.012648,0.790739,0.150223,0.216663,0.330256,0.427691,0.505569,-0.33416,0.115304,-0.707738,-0.007222,-0.482549,-0.416013,-0.337968,-0.244107,-0.181576,0.016055,0.069415,-0.326822,0.274633,-0.076185,-0.025497,0.021421,0.060557,0.099577,0.0,PRE_INTERVENTION,37MBV,92,02.12
2019-07-03,sentinel2,20190703T073619_20190703T075901_T36MZE,PRE,0.1,32.468285,0.479453,0.247209,-0.041594,0.870002,0.099637,0.2599,0.525651,0.697261,0.779401,-0.459089,0.191857,-0.766763,0.046552,-0.685451,-0.623079,-0.498029,-0.302654,-0.162266,-0.059553,0.14389,-0.423835,0.29126,-0.259909,-0.173946,-0.056697,0.068534,0.126898,49.523,PRE_INTERVENTION,36MZE,92,02.12
2019-07-03,sentinel2,20190703T073619_20190703T075901_T37MBV,PRE,0.01,40.086943,0.476928,0.245567,-0.039612,0.866017,0.103559,0.255738,0.521454,0.693358,0.775463,-0.455348,0.19044,-0.761677,0.046435,-0.677653,-0.615206,-0.494481,-0.298759,-0.162073,-0.060022,0.142997,-0.438574,0.308312,-0.25969,-0.173758,-0.060548,0.068099,0.126934,49.523,PRE_INTERVENTION,37MBV,92,02.12
