date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_p10,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_p90,NDWI_mean,NDWI_std,NDWI_min,NDWI_max,NDWI_p10,NDWI_p25,NDWI_p50,NDWI_p75,NDWI_p90,NDMI_mean,NDMI_std,NDMI_min,NDMI_max,NDMI_p10,NDMI_p25,NDMI_p50,NDMI_p75,NDMI_p90,BSI_mean,BSI_std,BSI_min,BSI_max,BSI_p10,BSI_p25,BSI_p50,BSI_p75,BSI_p90,EVI_mean,EVI_std,EVI_min,EVI_max,EVI_p10,EVI_p25,EVI_p50,EVI_p75,EVI_p90,chirps_30d_mm,flags,mgrs_tile,orbit_number,processing_baseline,avg_rad_mean,avg_rad_std,avg_rad_min,avg_rad_max,avg_rad_p10,avg_rad_p25,avg_rad_p50,avg_rad_p75,avg_rad_p90
2019-01-01,viirs,20190101,PRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.283,PRE_INTERVENTION,,,,0.299168,0.187474,0.11,0.85,0.19,0.2,0.29,0.34,0.52
2019-01-02,sentinel2,20190102T075321_20190102T075634_T36NXF,PRE,0.0,0.699719,0.617398,0.095696,0.207499,0.861369,0.486336,0.556665,0.631013,0.689323,0.728418,-0.584651,0.056124,-0.802727,-0.253532,-0.654222,-0.619148,-0.58777,-0.552868,-0.513681,0.117277,0.074779,-0.182624,0.436378,0.021623,0.068199,0.11913,0.165927,0.208814,-0.03341,0.077,-0.362728,0.218256,-0.126942,-0.087972,-0.036932,0.017543,0.064697,1.60993,0.380327,0.364213,4.230625,1.102001,1.35132,1.632631,1.898137,2.085996,166.558,PRE_INTERVENTION,36NXF,135.0,05.00,,,,,,,,,
2019-01-07,sentinel2,20190107T075319_20190107T080915_T36NXF,PRE,0.0,1.535161,0.595784,0.103509,0.195447,0.861045,0.454973,0.525425,0.607427,0.673742,0.720736,-0.579371,0.059519,-0.79582,-0.278094,-0.650337,-0.619163,-0.584011,-0.541058,-0.501954,0.087341,0.082627,-0.213057,0.451265,-0.017692,0.033277,0.0879,0.138569,0.189338,-0.014687,0.08401,-0.392552,0.262191,-0.119209,-0.072251,-0.013575,0.040976,0.091642,1.548681,0.42078,0.316602,2.688356,0.992686,1.241262,1.555024,1.883451,2.101833,139.879,PRE_INTERVENTION,36NXF,135.0,02.11,,,,,,,,,
2019-01-12,sentinel2,20190112T075301_20190112T075614_T36NXF,PRE,0.0,10.332992,0.552357,0.107393,0.15707,0.828951,0.408236,0.474866,0.55657,0.638565,0.68935,-0.559387,0.061421,-0.773371,-0.208564,-0.634567,-0.599575,-0.564504,-0.517577,-0.478524,0.066402,0.077308,-0.247187,0.394312,-0.029108,0.013734,0.06439,0.115132,0.165903,0.012097,0.079054,-0.320499,0.257654,-0.091682,-0.040925,0.017631,0.068319,0.111381,1.289464,0.37269,0.301439,3.357214,0.804934,1.008323,1.273325,1.570897,1.805474,76.422,PRE_INTERVENTION,36NXF,135.0,02.11,,,,,,,,,
2019-01-17,sentinel2,20190117T075249_20190117T080836_T36NXF,PRE,0.0,4.038922,0.560781,0.115546,0.176634,0.855107,0.404442,0.478586,0.568346,0.650456,0.705036,-0.558512,0.066018,-0.791129,-0.245784,-0.638795,-0.599662,-0.560493,-0.517652,-0.474524,0.052939,0.089268,-0.277191,0.428999,-0.060487,-0.001931,0.052712,0.111267,0.162049,0.029728,0.089205,-0.358621,0.294102,-0.08415,-0.029269,0.033158,0.087949,0.142517,1.386853,0.43254,0.255189,3.751107,0.820506,1.054954,1.36734,1.727036,1.992442,36.491,PRE_INTERVENTION,36NXF,135.0,02.11,,,,,,,,,
2019-01-22,sentinel2,20190122T075221_20190122T075539_T36NXF,PRE,0.0,0.175152,0.591759,0.099409,0.184804,0.842782,0.455143,0.529372,0.603492,0.666015,0.709072,-0.564836,0.057121,-0.781838,-0.229766,-0.634731,-0.599562,-0.568433,-0.52927,-0.490352,0.102915,0.082152,-0.228445,0.442013,-0.002028,0.056548,0.107309,0.154345,0.19723,-0.01499,0.084229,-0.356304,0.29048,-0.115233,-0.072385,-0.021482,0.037026,0.095489,1.504937,0.384655,0.328835,4.251358,0.991895,1.227008,1.523497,1.805015,1.9916,39.72,PRE_INTERVENTION,36NXF,135.0,02.11,,,,,,,,,
2019-01-27,sentinel2,20190127T075209_20190127T080616_T36NXF,PRE,12.34,25.275155,0.527447,0.101077,0.192316,0.773093,0.388595,0.462721,0.537041,0.603424,0.650358,-0.529236,0.060213,-0.725236,-0.289012,-0.600566,-0.569404,-0.534097,-0.493257,-0.448302,0.052636,0.078071,-0.214987,0.367412,-0.048942,0.002007,0.056678,0.107467,0.146435,0.011748,0.075813,-0.293797,0.228207,-0.083951,-0.041109,0.009816,0.064292,0.111189,1.435842,0.414139,0.327807,3.661331,0.89994,1.132942,1.429885,1.742348,2.006963,31.951,PRE_INTERVENTION,36NXF,135.0,02.11,,,,,,,,,
2019-02-01,sentinel2,20190201T075141_20190201T080139_T36NXF,PRE,0.0,0.033922,0.483539,0.114849,0.158477,0.79154,0.330053,0.400644,0.482508,0.572263,0.63475,-0.518781,0.068179,-0.750067,-0.245273,-0.603594,-0.564294,-0.521564,-0.474661,-0.427653,0.0061,0.082694,-0.271623,0.335166,-0.099663,-0.048732,0.001856,0.060514,0.111376,0.067848,0.079167,-0.257578,0.279117,-0.037038,0.017488,0.07234,0.123158,0.165937,1.136068,0.376944,0.266961,2.187813,0.660043,0.847712,1.105347,1.417821,1.668011,19.06,PRE_INTERVENTION,36NXF,135.0,05.00,,,,,,,,,
2019-02-01,viirs,20190201,PRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.06,PRE_INTERVENTION,,,,0.440009,0.15819,0.23,0.84,0.3,0.35,0.39,0.48,0.65
2019-02-06,sentinel2,20190206T075109_20190206T080454_T36NXF,PRE,0.0,39.857907,0.442857,0.114519,0.142686,0.794252,0.294788,0.357444,0.435524,0.529261,0.599486,-0.493447,0.070184,-0.755423,-0.251408,-0.580036,-0.540818,-0.49412,-0.447172,-0.400387,-0.025932,0.083229,-0.299325,0.369156,-0.127037,-0.083865,-0.033325,0.029238,0.0839,0.098,0.077566,-0.291982,0.296908,-0.005944,0.04877,0.107408,0.154247,0.189488,1.031613,0.373621,0.239769,2.314496,0.570598,0.742412,0.976067,1.305226,1.57056,17.388,PRE_INTERVENTION,36NXF,135.0,02.11,,,,,,,,,
